parameter_set_id,manifest_id,boarding_policy,load_factor,luggage_probability,cross_zone_violation_rate,stow_dist,stow_shape_k,stow_scale_lambda_s,shuffle_model,shuffle_low_s,shuffle_mode_s,shuffle_high_s,total_ticks,total_seconds,avg_boarding_seconds,avg_wait_seconds,luggage_passengers,avg_assigned_stow_seconds,row_conflict_count,seat_shuffle_starts,seat_shuffle_finishes,boarding_completion_success
P03_wb_k1.7_l14_tri_15_21.0_26,5,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1492,746.0,96.36290322580645,76.36290322580645,183,12.278688524590164,2760,66,66,True
P03_wb_k1.7_l14_tri_15_21.0_26,6,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1417,708.5,112.27620967741936,92.4133064516129,187,12.935828877005347,2374,58,57,True
P03_wb_k1.7_l14_tri_15_21.0_26,7,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1539,769.5,107.72782258064517,87.82661290322581,184,12.630434782608695,2256,54,54,True
P03_wb_k1.7_l14_tri_15_21.0_26,8,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1387,693.5,100.26209677419355,80.70362903225806,190,12.805263157894737,2378,57,57,True
P03_wb_k1.7_l14_tri_15_21.0_26,9,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1482,741.0,94.94354838709677,75.1491935483871,188,13.069148936170214,2444,59,59,True
P03_wb_k1.7_l14_tri_15_21.0_26,10,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1620,810.0,108.46370967741936,88.89516129032258,175,12.64,2577,60,60,True
P03_wb_k1.7_l14_tri_15_21.0_26,11,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1307,653.5,88.625,68.66532258064517,180,12.027777777777779,2098,50,50,True
P03_wb_k1.7_l14_tri_15_21.0_26,12,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1518,759.0,115.75604838709677,96.11895161290323,193,12.715025906735752,2422,57,57,True
P03_wb_k1.7_l14_tri_15_21.0_26,13,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1404,702.0,107.14717741935483,87.75806451612904,181,12.895027624309392,2869,68,68,True
P03_wb_k1.7_l14_tri_15_21.0_26,14,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1666,833.0,109.17943548387096,89.65927419354838,190,13.773684210526316,2325,56,56,True
P03_wb_k1.7_l14_tri_15_21.0_26,15,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1456,728.0,104.79233870967742,85.1350806451613,186,12.403225806451612,2740,65,65,True
P03_wb_k1.7_l14_tri_15_21.0_26,16,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1401,700.5,95.98185483870968,76.2258064516129,181,12.292817679558011,2456,57,57,True
P03_wb_k1.7_l14_tri_15_21.0_26,17,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1376,688.0,108.3125,88.33467741935483,189,12.857142857142858,2068,50,49,True
P03_wb_k1.7_l14_tri_15_21.0_26,18,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1502,751.0,123.73185483870968,103.78225806451613,194,12.262886597938145,2792,68,66,True
P03_wb_k1.7_l14_tri_15_21.0_26,19,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1335,667.5,89.85483870967742,70.1008064516129,177,12.101694915254237,2177,51,51,True
P03_wb_k1.7_l14_tri_15_21.0_26,20,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1460,730.0,96.48387096774194,76.50201612903226,192,12.09375,2461,57,57,True
P03_wb_k1.7_l14_tri_15_21.0_26,21,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1701,850.5,110.02217741935483,90.27217741935483,191,12.178010471204189,2811,66,66,True
P03_wb_k1.7_l14_tri_15_21.0_26,22,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1535,767.5,110.25403225806451,90.40120967741936,181,13.0939226519337,2598,62,62,True
P03_wb_k1.7_l14_tri_15_21.0_26,23,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1383,691.5,111.1975806451613,91.69556451612904,191,12.947643979057592,2465,58,58,True
P03_wb_k1.7_l14_tri_15_21.0_26,24,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1586,793.0,108.1975806451613,88.2600806451613,181,11.861878453038674,2874,69,68,True
P03_wb_k1.7_l14_tri_15_21.0_26,25,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1569,784.5,99.91935483870968,80.16129032258064,193,12.046632124352332,2556,60,60,True
P03_wb_k1.7_l14_tri_15_21.0_26,26,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1583,791.5,118.66935483870968,99.03024193548387,186,12.489247311827956,2799,67,67,True
P03_wb_k1.7_l14_tri_15_21.0_26,27,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1608,804.0,106.57862903225806,87.01411290322581,185,12.286486486486487,2817,68,67,True
P03_wb_k1.7_l14_tri_15_21.0_26,28,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1522,761.0,110.73387096774194,90.84475806451613,174,13.114942528735632,2203,53,53,True
P03_wb_k1.7_l14_tri_15_21.0_26,29,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1347,673.5,81.2258064516129,61.88911290322581,177,12.333333333333334,2605,60,60,True
P03_wb_k1.7_l14_tri_15_21.0_26,30,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,21.0,26.0,1384,692.0,94.42338709677419,74.60685483870968,188,11.96808510638298,2306,55,55,True
P04_wb_k1.7_l16_tri_15_20.0_26,1,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1565,782.5,110.09274193548387,90.24798387096774,186,14.182795698924732,2422,58,58,True
P04_wb_k1.7_l16_tri_15_20.0_26,2,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1546,773.0,111.17540322580645,91.25,192,15.078125,2346,57,56,True
P04_wb_k1.7_l16_tri_15_20.0_26,3,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1698,849.0,109.13306451612904,89.13104838709677,185,13.52972972972973,2358,56,56,True
P04_wb_k1.7_l16_tri_15_20.0_26,4,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1634,817.0,114.03225806451613,94.50604838709677,188,14.430851063829786,2675,64,64,True
P04_wb_k1.7_l16_tri_15_20.0_26,5,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1605,802.5,105.31854838709677,85.31854838709677,183,14.005464480874316,2687,66,66,True
P04_wb_k1.7_l16_tri_15_20.0_26,6,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1554,777.0,122.31451612903226,102.45161290322581,187,14.732620320855615,2394,58,57,True
P04_wb_k1.7_l16_tri_15_20.0_26,7,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1657,828.5,116.70564516129032,96.80443548387096,184,14.38586956521739,2264,54,54,True
P04_wb_k1.7_l16_tri_15_20.0_26,8,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1472,736.0,107.57862903225806,88.02016129032258,190,14.605263157894736,2345,57,57,True
P04_wb_k1.7_l16_tri_15_20.0_26,9,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1604,802.0,104.2883064516129,84.49395161290323,188,14.893617021276595,2471,59,59,True
P04_wb_k1.7_l16_tri_15_20.0_26,10,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1721,860.5,117.35483870967742,97.78629032258064,175,14.405714285714286,2546,60,60,True
P04_wb_k1.7_l16_tri_15_20.0_26,11,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1383,691.5,95.56048387096774,75.6008064516129,180,13.761111111111111,2097,50,50,True
P04_wb_k1.7_l16_tri_15_20.0_26,12,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1622,811.0,124.34879032258064,104.7116935483871,193,14.507772020725389,2401,57,57,True
P04_wb_k1.7_l16_tri_15_20.0_26,13,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1496,748.0,114.11290322580645,94.72379032258064,181,14.723756906077348,2796,68,68,True
P04_wb_k1.7_l16_tri_15_20.0_26,14,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1784,892.0,119.81653225806451,100.29637096774194,190,15.705263157894738,2337,56,56,True
P04_wb_k1.7_l16_tri_15_20.0_26,15,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1542,771.0,113.84475806451613,94.1875,186,14.166666666666666,2707,65,65,True
P04_wb_k1.7_l16_tri_15_20.0_26,16,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1427,713.5,101.7741935483871,82.01814516129032,181,14.077348066298342,2298,57,57,True
P04_wb_k1.7_l16_tri_15_20.0_26,17,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1496,748.0,118.1774193548387,98.19959677419355,189,14.671957671957673,2084,50,49,True
P04_wb_k1.7_l16_tri_15_20.0_26,18,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1629,814.5,137.13709677419354,117.1875,194,13.97938144329897,2815,68,66,True
P04_wb_k1.7_l16_tri_15_20.0_26,19,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1430,715.0,97.26612903225806,77.51209677419355,177,13.785310734463277,2133,51,51,True
P04_wb_k1.7_l16_tri_15_20.0_26,20,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1530,765.0,105.15927419354838,85.1774193548387,192,13.822916666666666,2415,57,57,True
P04_wb_k1.7_l16_tri_15_20.0_26,21,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1764,882.0,116.7258064516129,96.9758064516129,191,13.921465968586388,2713,66,66,True
P04_wb_k1.7_l16_tri_15_20.0_26,22,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1654,827.0,121.92540322580645,102.0725806451613,181,14.96132596685083,2610,62,62,True
P04_wb_k1.7_l16_tri_15_20.0_26,23,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1516,758.0,122.95766129032258,103.45564516129032,191,14.75916230366492,2418,58,58,True
P04_wb_k1.7_l16_tri_15_20.0_26,24,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1667,833.5,116.12298387096774,96.18548387096774,181,13.613259668508288,2788,69,68,True
P04_wb_k1.7_l16_tri_15_20.0_26,25,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1639,819.5,106.41532258064517,86.65725806451613,193,13.751295336787564,2453,60,60,True
P04_wb_k1.7_l16_tri_15_20.0_26,26,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1730,865.0,127.40322580645162,107.76411290322581,186,14.295698924731182,2820,67,67,True
P04_wb_k1.7_l16_tri_15_20.0_26,27,std,0.85,0.75,0.05,weibull,1.7,16.0,triangular,15.0,20.0,26.0,1690,845.0,113.42540322580645,93.86088709677419,185,14.005405405405405,2749,68,67,True
