replication_id,n_completed_pairs,sample_mean_diff,sample_sd_diff,standard_error,t_critical,ci_half_width,ci_low,ci_high,cv,pair_completed,difference,error_a,error_b,stop_flag
124,124,270.6774193548387,78.63048276147353,7.061225802442786,1.9794386850933035,13.977263517534256,256.70015583730446,284.654682872373,0.2904951693011178,True,296.0,,,False
125,125,270.512,78.33461785723289,7.0064612208096655,1.979280116604855,13.86774938211155,256.6442506178885,284.3797493821115,0.2895790865367632,True,250.0,,,False
126,126,271.1309523809524,78.32938602009921,6.978136328656468,1.9791241094237977,13.810597846890083,257.32035453406235,284.94155022784247,0.28889872341112327,True,348.5,,,False
127,127,269.6968503937008,79.67429126395758,7.0699500986188175,1.9789706019906281,13.991223402707382,255.7056269909934,283.68807379640816,0.29542166008853954,True,89.0,,,False
128,128,269.75,79.36227112891967,7.0147000107030575,1.9788195347028539,13.880825411259528,255.86917458874046,283.63082541125954,0.2942067511730108,True,276.5,,,False
129,129,269.97286821705427,79.09217106477928,6.9636773697246195,1.978670849837835,13.778825419149511,256.1940427979048,283.75169363620375,0.29296340623825323,True,298.5,,,False
130,130,270.3538461538462,78.90467328183155,6.920397646263145,1.9785244914792577,13.69217623390704,256.66166991993913,284.0460223877532,0.29185703996580264,True,319.5,,,False
131,131,270.2671755725191,78.60686742630462,6.867913895177875,1.9783804054470222,13.587346276517241,256.67982929600186,283.8545218490363,0.29084873980640885,True,259.0,,,False
132,132,269.4734848484849,78.83542414892068,6.861742921058664,1.9782385392303796,13.574164292729488,255.8993205557554,283.0476491412144,0.29255354823962354,True,165.5,,,False
133,133,269.88345864661653,78.67842796688988,6.822284927657555,1.9780988419241303,13.495153914675859,256.38830473194065,283.3786125612924,0.29152741839547436,True,324.0,,,False
134,134,269.4738805970149,78.52534950991819,6.783557004935905,1.9779612641677262,13.417612989036858,256.05626760797804,282.89149358605175,0.2914024518292704,True,215.0,,,False
135,135,269.6148148148148,78.24893163022368,6.734595756941758,1.9778257580871244,13.319856958383664,256.29495785643115,282.93467177319843,0.29022489615034336,True,288.5,,,False
136,136,269.9264705882353,78.04325793386936,6.692154157785236,1.9776922772392524,13.235021595946415,256.6914489922889,283.1614921841817,0.28912784197783253,True,312.0,,,False
137,137,270.44160583941607,77.98923063129384,6.6630696409284464,1.9775607765589351,13.176625173380724,257.26498066603534,283.6182310127968,0.2883773389424503,True,340.5,,,False
138,138,269.9673913043478,77.9035105634434,6.631587213616436,1.9774312123081748,13.11350754334894,256.8538837609989,283.08089884769674,0.28856637161641074,True,205.0,,,False
139,139,270.01079136690646,77.62242475426491,6.583848137148404,1.9773035420276506,13.018266241755688,256.9925251251508,283.02905760866213,0.2874789720859231,True,276.0,,,False
140,140,270.075,77.34643465110341,6.536966833346121,1.977177724490333,12.92474520862406,257.1502547913759,282.99974520862406,0.28638872406221755,True,279.0,,,False
141,141,270.15248226950354,77.07519388007707,6.490902259268131,1.9770537196570985,12.832862455616722,257.3196198138868,282.9853447251203,0.2853025566620077,True,281.0,,,False
142,142,270.15845070422534,76.80142419165381,6.445032347227224,1.9769314886342528,12.74138739249983,257.41706331172554,282.89983809672515,0.28428288654844813,True,271.0,,,False
143,143,270.0874125874126,76.53523340996162,6.400197742310815,1.97681099363286,12.651981258424229,257.43543132898833,282.73939384583684,0.28337208563983457,True,260.0,,,False
144,144,269.30902777777777,76.83701296436462,6.4030844136970515,1.976692197929798,12.656927003240856,256.6521007745369,281.96595478101864,0.28531168672060714,True,158.0,,,False
145,145,269.84137931034485,76.83761971612503,6.381017000144794,1.9765750658304433,12.612559097126375,257.22882021321846,282.45393840747124,0.28475106343032,True,346.5,,,False
146,146,270.2842465753425,76.75895786282574,6.352616553025562,1.9764595626329178,12.555689733967535,257.72855684137494,282.83993630931,0.2839934581293807,True,334.5,,,False
147,147,270.73809523809524,76.69328999719342,6.325555946416808,1.9763456545938127,12.50148500759091,258.2366102305043,283.23958024568617,0.28327483773477474,True,337.0,,,False
148,148,270.3716216216216,76.56190242852448,6.293349612710499,1.976233308895327,12.437127129161995,257.93449449245963,282.8087487507836,0.2831728491671029,True,216.5,,,False
149,149,269.76174496644296,76.6651102834422,6.28065055343084,1.9761224936137445,12.411334833162297,257.35041013328066,282.17307979960526,0.2841956345329059,True,179.5,,,False
150,150,269.81,76.4096973272214,6.238825661739868,1.976013177689192,12.328001720903472,257.4819982790965,282.1380017209035,0.28319816658841923,True,277.0,,,False
151,151,269.49006622516555,76.25598272045447,6.20562386501588,1.9759053308966201,12.261725276424166,257.2283409487414,281.7517915015897,0.28296398375122567,True,221.5,,,False
152,152,269.00657894736844,76.23645220740885,6.183592809526662,1.9757989238179394,12.217536018391126,256.7890429289773,281.22411496575955,0.2833999544015785,True,196.0,,,False
153,153,268.72222222222223,76.06662351813897,6.14962202645842,1.97569392781527,12.149770896032937,256.5724513261893,280.87199311825515,0.2830678567968785,True,225.5,,,False
154,154,269.20454545454544,76.05352891384827,6.1285680093947175,1.975590315005249,12.107539604211201,257.09700585033426,281.3120850587566,0.28251205337351826,True,343.0,,,False
155,155,269.1193548387097,75.81361894648535,6.089496413186573,1.9754880582343404,12.029727444910923,257.08962739379876,281.1490822836206,0.28171002041797566,True,256.0,,,False
156,156,269.40705128205127,75.65404716989336,6.057171450599,1.9753871310551152,11.96525853410771,257.44179274794357,281.372309816159,0.2808168784368179,True,314.0,,,False
157,157,269.7229299363057,75.51497123818584,6.026750812614583,1.9752875077034489,11.904565592199194,257.8183643441065,281.62749552850494,0.27997238223690685,True,319.0,,,False
158,158,269.65822784810126,75.27848697112032,5.988834865160255,1.9751891630765914,11.829081725119796,257.82914612298146,281.48730957322107,0.2791625813603016,True,259.5,,,False
159,159,269.3647798742138,75.13106028831335,5.958280649833239,1.9750920727120844,11.768152878479437,257.59662699573437,281.13293275269325,0.278919390736226,True,223.0,,,False
160,160,268.840625,75.18732103812408,5.9440796411691945,1.9749962127674756,11.739534779697415,257.1010902203026,280.5801597796974,0.2796724677980647,True,185.5,,,False
161,161,269.332298136646,75.21118068685372,5.927471416483869,1.9749015600007986,11.706172547274138,257.62612558937184,281.03847068392014,0.2792505065571277,True,348.0,,,False
162,162,269.5617283950617,75.03408677634822,5.895234619966186,1.9748080917517872,11.641957030284496,257.9197713647772,281.20368542534624,0.2783558601701072,True,306.5,,,False
163,163,269.83742331288346,74.88490929575384,5.865438775229952,1.9747157859237907,11.582574540816092,258.25484877206736,281.41999785369956,0.2775186198280691,True,314.5,,,False
164,164,269.7042682926829,74.67431975418097,5.831084716241546,1.9746246209663612,11.514203447631203,258.1900648450517,281.2184717403141,0.2768748163567973,True,248.0,,,False
165,165,269.75151515151515,74.44877974565566,5.795829642610671,1.9745345758584754,11.44406602512024,258.3074491263949,281.1955811766354,0.27599021901263077,True,277.5,,,False
166,166,270.0722891566265,74.3378093174795,5.769732978161883,1.9744456300923827,11.39202406553164,258.68026509109484,281.4643132221581,0.2752515245070842,True,323.0,,,False
167,167,269.9101796407186,74.14316388698525,5.737370274933521,1.9743577636580294,11.327621545295798,258.58255809542277,281.2378011860144,0.2746956931586586,True,243.0,,,False
168,168,269.54761904761904,74.07006793811519,5.714629807385456,1.9742709570280557,11.282227658887937,258.2653913887311,280.829846706507,0.27479399818044675,True,209.0,,,False
169,169,269.17455621301775,74.00836908078917,5.692951467753013,1.9741851911433246,11.238940481535652,257.9356157314821,280.41349669455343,0.2749456342456858,True,206.5,,,False
170,170,268.70588235294116,74.04168001466715,5.6787376286689755,1.9741004473989765,11.210398493416827,257.4954838595243,279.916280846358,0.27554915942411157,True,189.5,,,False
171,171,268.9736842105263,73.9066036840515,5.651779240685813,1.9740167076309705,11.156706648955675,257.81697756157064,280.13039085948196,0.274772619116912,True,314.5,,,False
172,172,268.63081395348837,73.8272563609792,5.6292755233140115,1.9739339541031067,11.111818092471061,257.5189958610173,279.74263204595945,0.27482795169493063,True,210.0,,,False
